Female ID ,Egg Number,Date Egg was Laid,pre.dilution,avergae OD,plate,ng_ml,Treatment,Diet,TD
48,1,3/20/20,11.82141448,1.991,P1,23.64282896,Control,Lipid,Control-Lipid
48,2,3/21/20,7.559219899,1.68,P1,15.1184398,Control,Lipid,Control-Lipid
48,3,3/22/20,6.177168074,1.506,P1,12.35433615,Control,Lipid,Control-Lipid
48,4,3/23/20,5.014425549,1.309,P1,10.0288511,Control,Lipid,Control-Lipid
164,1,7/24/20,9.50888646,1.853,P1,19.01777292,Control,Protein,Control-Protein
164,2,7/25/20,9.163487754,1.827,P1,18.32697551,Control,Protein,Control-Protein
164,3,7/26/20,7.184607269,1.638,P1,14.36921454,Control,Protein,Control-Protein
172,1,6/1/20,4.928149337,1.292,P1,9.856298675,Control,Protein,Control-Protein
209,1,8/11/20,4.89316432,1.285,P1,9.786328639,MG,Lipid,MG-Lipid
209,2,8/12/20,3.995280258,1.082,P1,7.990560517,MG,Lipid,MG-Lipid
601,2,5/19/20,9.086909117,1.821,P1,18.17381823,Control,Protein,Control-Protein
601,3,5/20/20,6.71334586,1.58,P1,13.42669172,Control,Protein,Control-Protein
601,4,5/21/20,5.214333716,1.347,P1,10.42866743,Control,Protein,Control-Protein
601,5,5/21/20,3.448828728,0.933,P1,6.897657456,Control,Protein,Control-Protein
610,1,7/6/20,8.194483969,1.744,P1,16.38896794,MG,Protein,MG-Protein
610,2,7/7/20,6.315641788,1.526,P1,12.63128358,MG,Protein,MG-Protein
610,3,7/9/20,4.993955397,1.305,P1,9.987910794,MG,Protein,MG-Protein
610,5,7/11/20,3.291582184,0.886,P1,6.583164368,MG,Protein,MG-Protein
615,1,7/4/20,2.998288611,0.793,P1,5.996577222,Control,Protein,Control-Protein
615,2,7/6/20,1.15017257,0.037,P1,2.30034514,Control,Protein,Control-Protein
617,1,5/31/20,6.95090988,1.61,P1,13.90181976,Control,Protein,Control-Protein
617,2,6/1/20,4.647268896,1.234,P1,9.294537793,Control,Protein,Control-Protein
617,3,6/2/20,3.452246031,0.934,P1,6.904492063,Control,Protein,Control-Protein
619,1,5/16/20,2.578273874,0.647,P1,5.156547748,MG,Lipid,MG-Lipid
619,2,5/17/20,1.655945556,0.271,P1,3.311891113,MG,Lipid,MG-Lipid
619,3,5/18/20,0.846750049,-0.107,P1,1.693500099,MG,Lipid,MG-Lipid
Blue-013,1,5/20/20,2.995253253,0.792,P1,5.990506505,Control,Protein,Control-Protein
Blue-013,2,5/21/20,0.861579529,-0.1,P1,1.723159059,Control,Protein,Control-Protein
Blue-042,1,3/15/20,3.765693724,1.022,P1,7.531387447,MG,Protein,MG-Protein
Blue-042,2,3/16/20,3.438595214,0.93,P1,6.877190428,MG,Protein,MG-Protein
Blue-042,3,3/17/20,3.298142952,0.888,P1,6.596285904,MG,Protein,MG-Protein
Blue-042,4,3/18/20,2.420276136,0.588,P1,4.840552273,MG,Protein,MG-Protein
SEM19-107,1,7/19/20,2.143086355,0.479,P1,4.286172711,MG,Protein,MG-Protein
SEM19-107,2,7/20/20,0.903851916,-0.08,P1,1.807703832,MG,Protein,MG-Protein
SEM19-76,1,7/8/20,1.620253681,0.255,P1,3.240507361,MG,Lipid,MG-Lipid
101-LS,1,4/29/20,20.89788712,2.041,P2,41.79577423,MG,Lipid,MG-Lipid
101-LS,2,4/30/20,13.55673607,1.78,P2,27.11347214,MG,Lipid,MG-Lipid
101-LS,3,5/1/20,12.16680281,1.7,P2,24.33360563,MG,Lipid,MG-Lipid
101-LS,4,5/2/20,9.1632752,1.468,P2,18.3265504,MG,Lipid,MG-Lipid
AR17-21,1,7/13/20,14.76166572,1.839,P2,29.52333145,MG,Lipid,MG-Lipid
AR17-21,2,7/15/20,7.811393106,1.328,P2,15.62278621,MG,Lipid,MG-Lipid
AR17-21,3,7/16/20,6.465599303,1.16,P2,12.93119861,MG,Lipid,MG-Lipid
Blue-010,1,7/2/20,19.28835456,2,P2,38.57670912,Control,Lipid,Control-Lipid
Blue-010,2,7/3/20,9.795699123,1.525,P2,19.59139825,Control,Lipid,Control-Lipid
Blue-010,3,7/4/20,6.472922714,1.161,P2,12.94584543,Control,Lipid,Control-Lipid
Blue-010,4,7/5/20,5.484586002,1.017,P2,10.969172,Control,Lipid,Control-Lipid
Blue-010,5,7/6/20,4.418775004,0.841,P2,8.837550009,Control,Lipid,Control-Lipid
Blue-010,6,7/7/20,2.224955218,0.427,P2,4.449910437,Control,Lipid,Control-Lipid
Blue-015,1,4/25/20,6.926100739,1.221,P2,13.85220148,MG,Lipid,MG-Lipid
Blue-015,2,4/26/20,3.593196302,0.691,P2,7.186392603,MG,Lipid,MG-Lipid
Blue-015,4,4/28/20,2.204243879,0.423,P2,4.408487757,MG,Lipid,MG-Lipid
Blue-024,1,4/25/20,,-0.173,P2,,Control,Protein,Control-Protein
Blue-024,2,4/26/20,,-0.321,P2,,Control,Protein,Control-Protein
Blue-024,3,4/27/20,,-0.236,P2,,Control,Protein,Control-Protein
Blue-024,4,4/28/20,,-0.115,P2,,Control,Protein,Control-Protein
Blue-035,3,3/14/20,7.82020044,1.329,P2,15.64040088,MG,Protein,MG-Protein
Blue-035,4,3/15/20,6.531769946,1.169,P2,13.06353989,MG,Protein,MG-Protein
Blue-035,5,3/16/20,5.581905338,1.032,P2,11.16381068,MG,Protein,MG-Protein
Blue-039,1,4/24/20,3.905594517,0.749,P2,7.811189034,Control,Lipid,Control-Lipid
Blue-039,2,4/25/20,2.698130258,0.519,P2,5.396260516,Control,Lipid,Control-Lipid
Blue-039,3,4/26/20,2.333396569,0.448,P2,4.666793137,Control,Lipid,Control-Lipid
Blue-049,1,3/13/20,5.045042561,0.947,P2,10.09008512,Control,Protein,Control-Protein
Blue-049,2,3/14/20,4.435938606,0.844,P2,8.871877212,Control,Protein,Control-Protein
Blue-049,3,3/15/20,4.059259859,0.777,P2,8.118519719,Control,Protein,Control-Protein
Blue-049,4,3/16/20,2.950095217,0.568,P2,5.900190434,Control,Protein,Control-Protein
Blue-049,5,3/17/20,2.739198472,0.527,P2,5.478396943,Control,Protein,Control-Protein
Blue-049,6,3/18/20,2.271486047,0.436,P2,4.542972094,Control,Protein,Control-Protein
SEM19-74,1,5/26/20,7.384211919,1.278,P2,14.76842384,MG,Protein,MG-Protein
SEM19-74,2,5/27/20,5.413953937,1.006,P2,10.82790787,MG,Protein,MG-Protein
Blue-031,1,4/25/20,,0.086,P3,,MG,Lipid,MG-Lipid
Blue-031,2,4/26/20,0.317487828,0.617,P3,0.634975656,MG,Lipid,MG-Lipid
Blue-031,3,4/27/20,1.47979344,1.106,P3,2.959586881,MG,Lipid,MG-Lipid
Blue-031,4,4/28/20,2.510437434,1.443,P3,5.020874869,MG,Lipid,MG-Lipid
Blue-032,1,4/21/20,3.468683706,1.67,P3,6.937367413,MG,Protein,MG-Protein
Blue-032,2,4/22/20,5.128309139,1.933,P3,10.25661828,MG,Protein,MG-Protein
Blue-032,4,4/24/20,,0.401,P3,,MG,Protein,MG-Protein
Blue-043,1,3/18/20,1.386494588,1.07,P3,2.772989175,MG,Lipid,MG-Lipid
Blue-043,2,3/19/20,1.578267566,1.143,P3,3.156535132,MG,Lipid,MG-Lipid
Blue-043,3,3/20/20,2.072238098,1.313,P3,4.144476197,MG,Lipid,MG-Lipid
Blue-043,4,3/21/20,3.513537861,1.679,P3,7.027075723,MG,Lipid,MG-Lipid
Blue-045,2,4/25/20,0.774126496,0.814,P3,1.548252993,MG,Protein,MG-Protein
Blue-045,3,4/26/20,0.921194033,0.878,P3,1.842388067,MG,Protein,MG-Protein
Blue-047,1,5/12/20,,0.091,P3,,Control,Lipid,Control-Lipid
Blue-047,2,5/13/20,0.104264536,0.539,P3,0.208529071,Control,Lipid,Control-Lipid
Blue-047,3,5/14/20,1.099969759,0.954,P3,2.199939517,Control,Lipid,Control-Lipid
Blue-047,4,5/15/20,0.170756574,0.561,P3,0.341513147,Control,Lipid,Control-Lipid
LD19-239,1,7/16/20,1.440631517,1.091,P3,2.881263034,MG,Lipid,MG-Lipid
LD19-239,2,7/17/20,1.67684377,1.179,P3,3.353687539,MG,Lipid,MG-Lipid
LD19-239,3,7/18/20,1.991589715,1.287,P3,3.98317943,MG,Lipid,MG-Lipid
SEM19-140,1,7/17/20,0.317487828,0.617,P3,0.634975656,Control,Lipid,Control-Lipid
SEM19-140,2,7/18/20,1.407025725,1.078,P3,2.81405145,Control,Lipid,Control-Lipid
SEM19-140,3,7/19/20,,-0.379,P3,,Control,Lipid,Control-Lipid
