,ID,Day.x,Mass.x,Fat.x,Day.y,Mass.y,Fat.y,dFat,dMass,ES.AUC,load.AUC,Bird.ID,Egg.Mass.Freezer,Yolk.Mass,csize,mean.load,max.load
1,101-LS,0,23.97,3,35,24.85,3,0,-0.88,79.77121509,54.72825879,101-LS,2.2181,0.39595,4,0.917971374,8.02373275
2,164,0,25.17,2,35,25.58,2,0,-0.41,0,NA,164,2.4225,0.4953,3,0,0
3,172,0,21.68,1.5,35,22.13,1,0.5,-0.45,0,NA,172,2.21275,0.33305,2,0,0
4,209,0,20.67,3,35,18.21,2,1,2.46,75.58486613,58.38773299,209,2.17715,0.5177,2,0.991217884,8.307360732
5,48,0,23,2,35,24.98,2,0,-1.98,0,NA,48,NA,0.448375,4,0,0
6,601,0,27.13,3,35,29.47,3,0,-2.34,0,NA,601,1.84872,0.3485,5,0,0
7,610,0,25.58,3,35,22.15,2,1,3.43,29.28660109,49.07744482,610,1.96496,0.37972,5,0.92098589,8.142168141
8,615,0,18.89,1,35,19.26,0.5,0.5,-0.37,0,NA,615,1.7467,0.372333333,3,0,0
9,617,0,26.08,3,35,22.18,3,0,3.9,0,NA,617,2.069,0.380566667,3,0,0
10,619,0,29.53,3,35,22.94,3,0,6.59,24.59273901,20.07660901,619,1.7317,0.334925,4,0.4780145,7.648232004
11,AR 17-21,0,23.79,1.5,35,23.63,2,-0.5,0.16,48.11577012,50.4020099,AR 17-21,1.821366667,0.406533333,3,0.884697793,7.112706283
12,Blue-010,0,18.67,0.5,35,19.81,2,-1.5,-1.14,0,NA,Blue-010,1.75965,0.404683333,6,0,0
13,Blue-013,0,21.23,0,35,22.16,1,-1,-0.93,0,15.87960709,Blue-013,2.0621,0.348366667,3,0.378085883,6.049374128
14,Blue-015,0,20.92,2,35,22.09,2,0,-1.17,140.0120465,48.73016418,Blue-015,1.942775,0.388275,4,0.819197486,7.184154682
15,Blue-024,0,22.06,3,35,21.48,2.5,0.5,0.58,0,NA,Blue-024,2.180325,0.524,4,0,0
16,Blue-031,0,19.89,3,35,16.78,0.5,2.5,3.11,119.3220127,65.01776775,Blue-031,1.889375,0.4605,4,1.303275724,7.743873389
17,Blue-032,0,21.21,1.5,35,22.11,2,-0.5,-0.9,32.86028028,48.77787604,Blue-032,2.183,0.49155,4,0.883998187,8.580425411
18,Blue-035,0,27.99,3,35,25.68,2,1,2.31,58.62621557,54.72825879,Blue-035,2.09942,0.339,5,1.040367557,8.02373275
19,Blue-039,0,30.36,3,35,23.65,2.5,0.5,6.71,0,NA,Blue-039,1.675025,0.37105,4,0,0
20,Blue-042,0,22.48,2,35,20.75,1.5,0.5,1.73,41.58286026,53.08519676,Blue-042,2.09105,0.430775,4,0.957853375,8.02373275
21,Blue-043,0,18.87,0,35,19.16,0.5,-0.5,-0.29,69.71118334,132.6756984,Blue-043,1.899825,0.383175,4,1.45961648,7.743873389
22,Blue-045,0,19.34,1,35,19.7,0.5,0.5,-0.36,35.74716186,93.59579891,Blue-045,2.140566667,0.452766667,3,1.201943288,8.02373275
23,Blue-047,0,21.91,2,35,21.38,2,0,0.53,0,NA,Blue-047,2.135125,0.350475,4,0,0
24,Blue-049,0,30.49,3,35,27.57,3,0,2.92,0,NA,Blue-049,1.985616667,0.410816667,6,0,0
25,LD 19-239,0,23.65,2.5,35,22.89,3,-0.5,0.76,33.04850456,57.56782233,LD 19-239,1.53185,0.298025,4,1.00055924,8.087651155
26,SEM 19-107,0,23.12,1,35,23.29,1,0,-0.17,71.68450964,121.2541769,SEM 19-107,2.0779,0.42945,2,1.534998428,9.049359646
27,SEM 19-1354,0,21.83,1.5,35,20.73,1,0.5,1.1,0,NA,SEM 19-1354,1.984875,0.288725,4,0,0
28,SEM 19-140,0,30.47,3,35,27.79,3,0,2.68,0,NA,SEM 19-140,2.3673,0.458833333,3,0,0
29,SEM 19-1481,0,22.93,1,35,24.49,1,0,-1.56,33.16943492,105.3850453,SEM 19-1481,1.9377,0.2619,1,1.341428075,7.655765122
30,SEM 19-74,0,25.67,3,35,22.84,2,1,2.83,51.11167012,59.06953754,SEM 19-74,2.007925,0.361875,4,1.024688243,8.307360732
31,SEM 19-76,0,25.84,3,35,25.37,3,0,0.47,98.5565977,58.74529506,SEM 19-76,2.2525,0.5063,1,1.035820437,8.385606275
